"classification","url"
"news", https://www.telegraph.co.uk/
"news", https://www.theguardian.com/uk
"news", https://www.dailymail.co.uk/home/index.html
"news", https://www.bbc.co.uk/news
"news", https://www.dailymail.co.uk/
"news", https://www.dailystar.co.uk/
"news", https://www.express.co.uk/
"golf", https://www.americangolf.co.uk/
"golf", https://www.golfgeardirect.co.uk/
"golf", https://www.affordablegolf.co.uk/
"golf", https://www.clubhousegolf.co.uk/
"golf", https://www.onlinegolf.co.uk/
"golf", https://www.golfgeardirect.co.uk/
